code,latitude,longitude,state
PY,10.91564885,79.8069488,puducherry
TN,10.9094334,78.3665347,tamil-nadu
UP,27.1303344,80.859666,uttar-pradesh
MP,23.8143419,77.5340719,madhya-pradesh
AD,15.9240905,80.1863809,andhra-pradesh
TR,23.7750823,91.7025091,tripura
LD,10.8132489,73.68046209,lakshadweep
MN,24.7208818,93.9229386,manipur
MH,18.9068356,75.6741579,maharashtra
DNHDD,20.71817495,70.93238341,dadra-&-nagar-haveli-&-daman-&-diu
ML,25.5379432,91.2999102,meghalaya
AN,10.0001051,93.0000194,andaman-&-nicobar-islands
HR,29,76,haryana
RJ,26.8105777,73.7684549,rajasthan
LA,33.9456407,77.6568576,ladakh
PB,30.9293211,75.5004841,punjab
AS,26.4073841,93.2551303,assam
JH,23.4559809,85.2557301,jharkhand
OD,20.5431241,84.6897321,odisha
BR,25.6440845,85.906508,bihar
KL,10.3528744,76.5120396,kerala
KA,14.5203896,75.7223521,karnataka
CH,30.72984395,76.78414567,chandigarh
TS,17.8495919,79.1151663,telangana
HP,31.81676015,77.34932052,himachal-pradesh
WB,22.9964948,87.6855882,west-bengal
GJ,22.3850051,71.745261,gujarat
SK,27.601029,88.45413639,sikkim
NL,26.1630556,94.5884911,nagaland
MZ,23.2146169,92.8687612,mizoram
CG,21.6637359,81.8406351,chhattisgarh
JK,32.7185614,74.8580917,jammu-&-kashmir
GA,15.3004543,74.0855134,goa
AR,28.0937702,94.5921326,arunachal-pradesh
DL,28.6517178,77.2219388,delhi
UK,30.0417376,79.089691,uttarakhand
