state,year,quater,total_transaction_count,total_amount
andaman-&-nicobar-islands,2018,1,6658,14631761.22198579
andaman-&-nicobar-islands,2018,2,11340,28338535.507953536
andaman-&-nicobar-islands,2018,3,16265,55557471.1343111
andaman-&-nicobar-islands,2018,4,23758,90548336.07445519
andaman-&-nicobar-islands,2019,1,30486,102299740.67348987
andaman-&-nicobar-islands,2019,2,33689,120254709.67566317
andaman-&-nicobar-islands,2019,3,33770,114071776.08729391
andaman-&-nicobar-islands,2019,4,35159,136838530.51737788
andaman-&-nicobar-islands,2020,1,41298,161476312.2972746
andaman-&-nicobar-islands,2020,2,62962,169645001.41414708
andaman-&-nicobar-islands,2020,3,117483,338019446.3303604
andaman-&-nicobar-islands,2020,4,224531,627282656.3148525
andaman-&-nicobar-islands,2021,1,244752,783706567.3897556
andaman-&-nicobar-islands,2021,2,341414,899147016.112296
andaman-&-nicobar-islands,2021,3,449764,1310024395.801603
andaman-&-nicobar-islands,2021,4,636123,1932610101.323657
andaman-&-nicobar-islands,2022,1,794748,2129030202.0751662
andaman-&-nicobar-islands,2022,2,1071217,2685920350.080265
andaman-&-nicobar-islands,2022,3,1584379,3310631772.1373873
andaman-&-nicobar-islands,2022,4,1987535,3984674404.4287868
andhra-pradesh,2018,1,9039585,11996276391.823303
andhra-pradesh,2018,2,12353918,22883914272.633053
andhra-pradesh,2018,3,25626061,35718044599.21493
andhra-pradesh,2018,4,30759548,51473779406.84101
andhra-pradesh,2019,1,57264522,83760595917.0764
andhra-pradesh,2019,2,56409015,113634518758.22995
andhra-pradesh,2019,3,76288614,139447944254.7939
andhra-pradesh,2019,4,107218103,200948315488.79114
andhra-pradesh,2020,1,127677357,252737214289.0627
andhra-pradesh,2020,2,144917855,302583689746.5638
andhra-pradesh,2020,3,204902935,467084130584.9083
andhra-pradesh,2020,4,286118552,654841546033.331
andhra-pradesh,2021,1,289747970,672444670176.6162
andhra-pradesh,2021,2,352767134,850737499108.2452
andhra-pradesh,2021,3,432032550,984218035564.1165
andhra-pradesh,2021,4,522254003,1156264447083.9802
andhra-pradesh,2022,1,582603911,1294320646554.8762
andhra-pradesh,2022,2,671134030,1479853948202.9329
andhra-pradesh,2022,3,642855035,1385077409712.1428
andhra-pradesh,2022,4,690017077,1424725083041.6558
arunachal-pradesh,2018,1,45497,92387336.00940917
arunachal-pradesh,2018,2,82157,198970192.3420464
arunachal-pradesh,2018,3,131146,331726406.7413913
arunachal-pradesh,2018,4,176429,504040029.0917604
arunachal-pradesh,2019,1,226506,609950106.3139497
arunachal-pradesh,2019,2,258656,752655874.3550282
arunachal-pradesh,2019,3,370234,912645034.7958703
arunachal-pradesh,2019,4,459475,1190573179.5272825
arunachal-pradesh,2020,1,567175,1381758681.3301463
arunachal-pradesh,2020,2,808774,1826716832.984963
arunachal-pradesh,2020,3,962827,2609938565.5582175
arunachal-pradesh,2020,4,1209129,3570264021.8456182
arunachal-pradesh,2021,1,1177456,3813779079.0166435
arunachal-pradesh,2021,2,1568338,4456425616.994381
arunachal-pradesh,2021,3,1906967,5678124175.29882
arunachal-pradesh,2021,4,2390598,6943510352.611348
arunachal-pradesh,2022,1,2804068,7828091628.087366
arunachal-pradesh,2022,2,3556925,9131665374.225864
arunachal-pradesh,2022,3,3939418,9025110785.048605
arunachal-pradesh,2022,4,4632709,9684909697.502253
assam,2018,1,1056881,1157804456.2124681
assam,2018,2,1663873,2350585135.537794
assam,2018,3,2351851,3811134989.9142733
assam,2018,4,3734172,5888022859.013107
assam,2019,1,4533005,8002099536.450852
assam,2019,2,5454929,10954969189.126205
assam,2019,3,5942571,12950443620.426497
assam,2019,4,6760510,15281983895.51207
assam,2020,1,8808860,20668428347.72924
assam,2020,2,10505199,19766300125.919445
assam,2020,3,12397711,29831391259.544075
assam,2020,4,15423454,40226611319.264206
assam,2021,1,19512060,51326464546.122375
assam,2021,2,25432905,59192473376.663826
assam,2021,3,33504441,75700499273.30763
assam,2021,4,46020361,104184967893.21542
assam,2022,1,58889886,132280437892.7028
assam,2022,2,76334725,153111042086.7834
assam,2022,3,86113811,161489079054.89847
assam,2022,4,103981267,192653519187.54608
bihar,2018,1,5824302,6045758172.01714
bihar,2018,2,8632378,13506131109.672049
bihar,2018,3,14367804,20135804378.901344
bihar,2018,4,15732401,28397997168.577694
bihar,2019,1,26356234,41502827514.52625
bihar,2019,2,29960479,63132438283.54189
bihar,2019,3,32139900,67692783254.278915
bihar,2019,4,43530314,93313426577.80928
bihar,2020,1,45081815,109256853527.24606
bihar,2020,2,53386742,128806523628.84395
bihar,2020,3,71503748,173328865111.81833
bihar,2020,4,96591673,238905613136.47272
bihar,2021,1,114932477,280973649701.228
bihar,2021,2,155603622,374580255186.5789
bihar,2021,3,187671113,397062760956.41205
bihar,2021,4,245126945,519371614068.76184
bihar,2022,1,284390434,611411695731.1459
bihar,2022,2,360145029,754461454966.14
bihar,2022,3,437367385,791446486557.9154
bihar,2022,4,517084649,936012149674.8322
chandigarh,2018,1,381895,613435420.8676232
chandigarh,2018,2,479084,961223261.7447292
